docid,Comments,Lable
100204,"භාන්ඩය ඉතමත් හොද තත්වයක පවතුනි. නියමිත ප්‍රමිතියටම නිමව තිබුනි, ස්තිතියි",5
100205,භාන්ඩය ඉතා හොද තත්වයෙ පවතී.,5
100206,මෙම වෙබ් අඩවියේ පාරිබෝගික සේවාව ඉතා ඉහළ මට්ටමක පවතී. මා ඇසූ සියලු ගැටලු වලට එ සැනින් පිලිතුරු ලැබුනි.,5
100207,දුරකථන කවරය ඉතා හොද ප්‍රමිතියකට නිමවා ඇත.,5
100208,මා බලා පොරොත්තු වූ වෙලද නාමය යටතේම ඇති අයිතම ඉතාමත් සදාරන මිලට නිවසටම ගෙනත් දෙනු ලබයි. සියලුම කාර්යය බහුල කන්තාවන් හට වටින මර්ගගත වෙලද පලකි.,5
100209,හොදයී,5
100210,ඉතා හොදයී,5
100211,ඉතා හොදයි,5
100212,සදහන් කර තිබූ විස්තර වලට අනුව සියල්ල නිවරදි ආකරයෙන් ඇනවුම තුල තිබුනි. මුදලට ඉතාමත් වටී.,5
100213,භාණ්ඩය ඉතා උසස් ත්ත්වයේ ඇත.බලාපොරොත්තු වූ ආකාරයට ලැබී ඇත.,5
100214,ඉතාමත් උසස් තත්වයේ කලිසමකි.,5
100215,සුපිරි කට්ටලයක් ! මැහුම් පිළිවෙලට ඇත. මම නිර්දේශ කරමි!,5
100216,උසස්ම අමුද්‍රව්‍ය වලින් නිමවා ඇත. මම ගොඩක් සතුටුයි මෙම සපත්තු යුගල ඇනවුම් කරාට.,5
100217,භාන්ඩ ඇනවුම පිලිබදව උපරිමයෙන් තෘප්තිමත්,5
100218,ඉතාමත් හොද branded සපත්තු පහසුවෙන් ගෙදරටම ගෙන්න ගන්න හොදම තැන,5
100219,ඉතා හොද lock එකක් තියෙනවා. ඇත්තටම මන් පින්තූර වලින් දැක්කට මේ තරම් හොද ඇති කියල හිතුවෙ නැහැ.,5
100220,මේසිටෙ එකේ කැමති brand කැමති අදුම් ගොඩාක් තියෙනවා. පට්ට...,5
100221,හරිම ලස්සන Teddy කෙනෙක්. ඉතාමත් හොද quality එකකට හදල තියෙනවා.,5
100222,ගත්තු ගානටනම් හොදටම වටිනවා. මේ දවස් වල කඩේකට ගිහින් තෝරලා බඩු ගන්න අමරු නිසා දැන්මේ. ඒත් ගත්තට පස්සෙ හොදටම satisfy උනා bag එක ගැන.,5
100223,Order එකනම් හොදටම තිබුනා. මට දවසක් ඇතුලට order එක ලැබුනා.,5
100224,හොදම branded අදුම්. Order එක දාපු ගමන් ටක්ගාල ආවා.,5
100225,Offer එකනම් පට්ට වටිනවා. ඒ ගානට ගෙදරටම ගෙනත් දෙන එක මාර වටිනවා.,5
100226,හොද sound quality එකක් තියෙනවා. මේකනම් පට්ට.,5
100227,පින්තූර වල වගේම ලස්සනට තියෙනවා. ගොඩක් හොද material එකකින් හදල තියෙන්නෙ.,5
100228,"වෙලවටම ආවා. මන් salon එකට බඩු අඩු වෙලා ටක්ගාල order කරේ, මේ කාලේ බඩු අඩු නිසා. මේවගේ වෙලාවකටම මාරම වටිනවා.",5
100229,ඉතාමත් හොද තත්වයේ අදුමක්. ගත්ත ගානට හොදටම වටිනවා.,5
100230,හරි සෝයි teddyයා. මන් හරි ආසයි. So cute..,5
100231,පෙනුමනම් හොදටම තියෙනවා. මන් මාර ලස්සනයි. 3 පාරක් use කරන්න පුලුවන්.,5
100232,මේකනම් මරු. Color patterns ගොඩක් තියෙනවා. මන් කැමතියි.,5
100233,මේ සෙට් එකනම් පට්ට. පාට ගොඩාරියක් තියෙනවා. වෙලාවට බඩුත් ආවා.,5
100234,Sound නම් සුපිරි. Bluetoothතුත් තියෙනවා.,5
100235,Package එක පරිස්සමට ලැබුනා. හදන විදිය ගැන description එකකුත් තිබ්බා. ගොඩක් හොදට responsible විදියට වැඩේ කරනවා.,5
100236,මේකනම් මාර ලස්සනයි. හොද හයියට තියෙනවා. Switch එකත් මාර smoothly වැඩ කරනවා.,5
100237,"Finishing නම් මරු, Original එකක් වගේම තියෙනවා. පට්ට",5
100238,එලියත් හොදයි. Light levels 3ක් තියෙන නිසා පහසු විදියට use කරන්න පුලුවන්. මාර comfortable. මන් ගොඩක් කැමතියි මේකට.,5
100239,හරිම ලස්සනයි. ඒ වගේම මාරම සැහැල්ලුයි ඇගටත්.,5
100240,හරිම ලස්සන design එකක්. මන් ගොඩක් ආසයි මේකට.,5
100241,හරිම පහසුවෙන් use කරන්න පුලුවන්. ගොඩක් හොදට හදල තියෙනවා.,5
100242,හරිම ලස්සනයි. පොඩි උනට ඉඩ තියෙනව බඩු දාන්න. හරිම ශෝක්.,5
100243,හරිම පහසුයි. Free sizes ඕන කෙනෙක්ට පහසුවෙන් use කරන්න පුලුවන්. මන් ඇත්තටම කැමතියි මේකට.,5
100244,හොඳ තත්ත්වයේ භාණ්ඩයක්. මිලදී ගැනීම ගැන නිසැකවම සතුටුයි!,5
100245,පොදුවේ ඔක්කොම හොදටම වැඩ. Battery එකත් හොදයි.,5
100246,"පටිය ඉතා හොඳින් ගැලපේ. එය බලවත් හා දැඩි, ගුණාත්මක බවින් පෙනේ.",5
100247,Order කරල දවස් දෙකකින් ආවා. මේකනම් පට්ට. හොද එලියක් තියෙමවා. මම කැමතියි ඒකට.,5
100248,හරිම ලොකුයි මේ teddy නම්. මන් මාරම ආසයි. ලස්සනයි. හරි සිනිදුයි. Gift එකකටනම් මරු.,5
100249,මන් gift එකක් ඒදියට order කරේ. මට ඕන දවසටම ගිහින් තිබුනා. ඇත්තටම හොද service එකක්.,5
100250,විකුනන ගානට බොහොම සාදාරනයි. ඉතාමත් හොද භාන්ඩයක්.,5
100251,ඉතා හොද තත්වයෙන් ඇත.බලාපොරොත්තු වූ දිනටත් පෙර නිවසටම ලැබුණි.,5
100252,මේකටනම් මන් හුගක් කැමතියි. හොද branded පෙනුමක් තියෙනවා. පටියත් හොදයි.,5
100253,හොද හයිය leather එකකින් හදල තියෙන්නෙ. හරි ලස්සනයි. කාලයක් පාවිච්චි කරන්න පුලුවන්. මන් හරි කැමතියි.,5
100254,Original charger එකක් වගේමයි. ඉක්මනට charge වෙනවා. හොදට plug වෙනවා. මන් කැමතියි මේකට.,5
100255,මේකනම් නියමට මට්ච් වෙනවා. ඇහැටත් සැහැල්ලුයි. මන් ආසයි මේකට.,5
100256,හරිම ලස්සන පාට සෙට් එකක්කම තියෙනවා. ඕන අදුමකට ගැලපෙන්න. මන් හරි කැමතියි මේකට.,5
100257,Description එකේ තිබුන විදියට වෙලාවට ආව. ස්තුතියි.,5
100258,මම ඇනවුම් කල බාන්ඩයම මට ලැබුන.ඒ ගැන මට ගොඩක් සතුටුයි.බොහොමත්ම ස්තූතියි.,5
100259,"ඉතා හොඳ නිෂ්පාදනයක්, ඉතා හොඳයි, ඉතා හොඳින් ඇසුරුම් කර ඇත.",5
100260,"භාණ්ඩය ක්‍රමවත්ව අසුරා තිබීම, මා සිතා සිටි දිනට කලින් භාණ්ඩය නිවසට ගෙනවිත් ලබා දීම පිලිබදව හා ලබාගත් භාණ්ඩය පිලිබදව උපරිමයෙන්ම තෘප්තිමත් වෙමි..ස්තූතියි...",5
100261,මෙම හෙඩ් ලයිට් එක ගොඩක් ශක්තිමත්! මගේ බයිසිකලයතරම් බරයි. ! මන් ගොඩක් කැමතියි මේකට.,5
100262,"මම එයට කැමතියි, මම නිසැකවම නැවත කියමි, මම 90 B ප්‍රමාණයෙන් යුක්ත වන අතර අත්වැසුම් ලෙස මම විශිෂ්ට ලෙස භාවිතා කරමි.",5
100263,ඉතාමත් ලස්සන හා හොද ඇදුමක්,5
100264,ඇනවුම නියමිත වෙලාවට ආව. පටියත් ගොඩක් හොදයි. මේ seller නම් ගොඩක් හොදයි.,5
100265,මම recommend කරනවා !!! මම ඇත්තටම සතුටු වෙනවා. ඉතාමත් ඉක්මනින් භාන්ඩය ලැබුනා සහ හොඳින් ඇසුරුම් කර ලබා දී තිබෙනවා.,5
100266,"එය උසස් තත්ත්වයේ බව පෙනේ, හෙට අපි අපේ දරුවා සමඟ එය Try කරනවා. ඔබට ස්තුතියි",5
100267,"Thank you very much for giving me such a fabulous product to my hands, rather than other stuffs I was more delighted from your valuable Service, hope to be in the market for everlasting years....❤️",5
100268,"සෑම දෙයක්ම හොඳයි, ගුණාත්මකභාවය, සවි කිරීමේ වැඩ, වර්ණය ඉතා ප්‍රසන්නයි (මම recommend කරනවා ,දින 14 ඇතුලට පැමිනියා)",5
100269,"තොප්පිය හොඳයි, Material දෙකක් use කරල හදල තියෙන්නේ. ඉතා හොදයි.",5
100270,"විකුණන්නාට බොහෝම ස්තූතියි. කිසිවක් නොකැඩී නිවසට ඉතාමත් පරිස්සමින් පැමිනියා, දීප්තිමත්, පුළුල් කකුලක් ඇති අයෙකුට ඉතා හොදින් ගැලපේ. ඔබේ ප්‍රමාණයට ගැලපෙන සේ order කරන්න.",5
100271,"දින 5 න් කුරියර් මගින් බෙදා හැරේ. පොම්පය හැර අනෙක් සියලු උපාන්ග බෝලය සමඟ ලැබුනි, ඇණවුම කළේ බෝලය පමණි. ඇත්තෙන්ම මම ව්කුනුම් කරුව නිර්දේශ කරමි.",5
100272,"නියමයි, මට අවශ්‍ය වීමට පෙර දින 12 කින් අත්වැසුම් පැමිණියා. එහි මිල සඳහා ගුණාත්මකභාවය ඉතා ඉතා හොඳයි. විකුණුම් කරුට තරු පහකි.",5
100273,"ඉතා සුවපහසු සහ මෘදු හා ලස්සනයි. ඉක්මනින් පැමිණී අතර අපූරු නිෂ්පාදනයක්, sellerට බොහෝම ස්තූතියි. මම සෑම කෙනෙකුටම recommend කරමි.",5
100274,"ඉතා හොඳ කාඩ්පත් සහ හොඳින් මුද්‍රණය කර ඇත, මාස 2 ක් ඇතුළත ලැබුනි. හොඳ තත්ත්වයේ පැවතුනද එය තරමක් තුනී ය. කොහෙත්ම නරක නැත. කෙසේ හෝ ස්තූතියි!",5
100275,"පින්තූරයේ තිබුන වගේමයි, කුඩා දරුවන් සමඟ සෙල්ලම් කිරීමට ඉතා හොඳයි.",5
100276,"ඉතා ඉක්මනින් පැමිනියා. හොඳ තත්ත්වයේ ඇසුරුම්, සෑම ජෝගුවක්ම තද කාඩ්බෝඩ් පෙට්ටියක සහ ප්ලාස්ටික් කවරයකින් ආවරනය කර තිබුනි, එස් ජෝගුව හානියක් නොමැතිව පැමිණියේය. හොඳ නිම කිරීමක්, ගුණාත්මකභාවය ඉතා හොදයි, දාර නැත, හොඳ ජෝගුවක්. හොඳ තත්ත්වයේ ද්‍රව්‍ය. Thank you seller.",5
100277,නිෂ්පාදනය හොඳ තත්ත්වයේ ඇති බවක් පෙනේ! ඉතා ඉක්මනින් පැමිනියා!,5
100278,වේගවත් බෙදා හැරීමට ස්තූතියි. මම මොහුගෙන් ඇණවුම් කරන්නේ පළමු වතාවට නොවේ. ගුණාත්මකභාවය ඉතා ඉහලයි. මම තවත් ඇණවුම් කරමි,5
100279,ඉතා ඉක්මනින් පැමිනියා. භාණ්ඩ පෙනුමෙන් විශිෂ්ටයි!,5
100280,ඉතා වේගයෙන් ලැබුනි (සති 2ක් තුලා. විකුණන්නා සමඟ කත කිරීමේ අවශ්‍යතාවයක් වුනේ නැත.,5
100281,"හොඳ කපු රෙදිවලින් නිමවා ඇත, රස්නයටද ඉතා හොඳයි, මැහුම් වල ගුණාත්මකභාවය හොඳයි. රෙදි තුනී සැහැල්ලු නමුත්, නමුත් හැඩය ඇත, මම එයට බෙහෙවින් කැමතියි. මිලදී ගැනීමට මම නිර්දේශ කරමි.",5
100282,ඉතා හොද ප්‍රතිපල සතියක් භාවිතය තුලින් මට ලැබුනි.,5
100283,ගුණාත්මකභාවය හොඳයි. මම තවම භාවිතා කරේ නම් නැහැ. ඉතා ඉක්මනින් ලැබුනා. ඔබට ස්තුතියි. මම sellerව recommend කරමි..,5
100284,සෑම දෙයක්ම ආරක්‍ෂිතව හා හොඳින් පැමිණියේය. මගෙ ගෙදරට කුරියර් එකක් ගෙනාවා. මට ගොඩක් සතුටින්.,5
100285,දින 8-9 ක් තුල ලැබුනි. සමාලෝචන හා විස්තර වල මෙන් සියල්ල ඇත. ස්තුතියි !!! Recommend කළ හැකිය !!,5
100286,"සරල ඔරලෝසුව, නමුත් පොරොන්දු ඉටු කරන පරිදි විස්තර කර ඇති පරිදි ලාභදායී වන අතර දින 11 ක නිවසක හොඳින් ඇසුරුම් කර ඇත. එම මුදලට වටී.",5
100287,Hello මට ඔයාලගේ oder එක හම්බුනා එක ගොඩක් ලස්සනයි මන් හිතුවාටත් වඩා ගොඩක් ලස්සනයි,5
100288,Bag එක හොඳ quality එකෙන් තිබුනා. හොඳට pack කරලා තිබුණ නිසා කිසිම damage එකක් වෙලා තිබ්බේ නැ,5
100289,"මම එයට කැමතියි, මගේ කුඩා දැරිය පවා එය සෑම විටම වැසිකිළියට යාමට ඇති මාවතක් ලෙස දකී. එය හොඳින් වැඩ කරයි.",5
100290,ඇණවුම ඉක්මනින් පැමිණියේය. මම උත්සාහ කරන්නම් එය භාවිතා කරන්න.,5
100291,විශිෂ්ට නිෂ්පාදනයක්. හොඳින් ක්‍රියා කරන අතර ඉතා සැහැල්ලු හා බහුකාර්ය උපකරනයක්.,5
100292,"ඇදහිය නොහැකි තරම් ලස්සන, සුපිරි ආරක්ෂිත පටියක්, උසස් තත්ත්වයේ සනිමාවක් ඇත.",5
100293,මම පාර්සලය ලබා ගත්තා. එය වැඩි කාලයක් නොගිහින් නිවසටම ලැබුනා. මිලදී ගැනීම ගැන සතුටු වෙමි.,5
100294,එය භාවිතා කිරීමට ඉතා පහසු වේ. ඔබේ ඇඟිල්ල සහ යන්ත්‍රය ස්පර්ශ කිරීමෙන් පමණක් පොම්ප කරනු ඇත. USB කේබලයෙන් බැටරිය ආරෝපණය වේ.,5
100295,ලාම්පුව ඉතා උසස් තත්ත්වයේ පවතී. ආලෝකකරණයේ ආකාර තුනක්ද ඇත. Sensor එක හොදින් වැඩ කරයි.,5
100296,ලස්සනයි !!!! ගුණාත්මකභාවය ඉතා හොඳ වන අතර දැන්වීමෙ තිබූ ආකාරයටම පවතී.,5
100297,ඉතා විනෝදාත්මක වන අතර ප්‍රතිඵලය විශ්මය ජනකයි!,5
100298,"Description එකේ තිබ්බ වගේම හොඳ quality එකට තිබ්බා. පාට, රෙද්ද ඒ විදියට ම තිබ්බා. හොඳ product එකක්.",5
100299,හිතපු විදිහටම තිබ්බා,5
100300,Quality එක ඉතාමත් හොදයි.ඉක්මනින් ලැබුනා.,5
100301,සුපිරි. මම ඔවුන්ට කැමති. ඉතා හොඳ තත්ත්වයේ ඇත. නියත වශයෙන්ම බය නැතිව මිලදී ගත හැක.,5
100302,"බෙදා හැරීම දින 10 ක් තුල සිදුවිනි. ගුණාත්මකව ඇසුරුම් කර තිබුනි, ගන්ධයක් රහිතය, ලස්සන ටී-ෂර්ට් එකක්.",5
100303,"ද්‍රව්‍යමය ගුණයට මම ඇත්තෙන්ම කැමතියි, මැහුම් පිළිවෙලට ඇත.",5
100304,"ඉක්මනින්ම පැමිනියා, ගුණාත්මකභාවය ඉතා හොදයි.",5
100305,සෑම දේම ඉතා හොදින් ක්‍රියාත්මක වේ. ඉක්මනින් ලබා දුන්නට වෙළෙන්දාට ස්තුතියි.,5
100306,"නිෂ්පාදන ගුණාත්මකභාවය ඉතා හොඳයි, එබැවින් මම මගේ යතුරුපැදිය සදහා එය භාවිතා කලෙමි!!",5
100307,Harima lassana dress ekak. Qulity. Mn eka gana gdak impressed,5
100308,"ඉතා හොඳ පසුම්බියක්, ඉතා හොද ප්‍රමිතියකට නිමවා ඇත.",5
100309,"නියම තත්ත්‍වයේ පවතී, කලින් පැමිණියා, ලස්සනයි! මම ගොඩක් කැමතියි !!!",5
100310,"ඉතා ඉක්මනින් ලැබුනි, හොඳින් ඇසුරුම් කර ඇති අතර එය හොදින් ක්‍රියා කරයි. විකුනුම් කරුව නිර්දේශ කරන්න.",5
100311,භාණ්ඩය හොද තත්ත්වයෙන් ලැබුනා ඒ වගේම ඉතා ඉක්මනට ලැබුනා නිවසටම,5
100312,විකුණන්නා නියමයි. IPhone SE 2020 සඳහා හොඳින් fit වෙනවා.,5
100313,ඉතා තෘප්තිමත් ගුණාත්මකභාවය හොඳ අතර ඉතා ඉක්මනොන් ලැබුනි.,5
100314,"මම කරන දෙවන නියෝගය ඇනවුම, ඉතා හොදින් ක්‍රියා කරයි, මම මෙයට කැමතියි, ස්තූතියි",5
100315,"ඉතා හොඳ නිෂ්පාදනයක්, ජංගම දුරකථනය සමඟ සම්බන්ද කිරීමට ඉතා පහසුය, මම තවමත් එය රූපවාහිනියට සවි කරේ නැහැ, නමුත් මම දැනටමත් මැන බැලූ අතර එය පරිපූර්ණයි.",5
100316,"හොඳ තත්ත්වයේ ඇලුමිනියම් වලින් නිමවා ඇත. මම දෙකක් ඇණවුම් කළා, දෙකම ආවා. බය නැතුව ඇණවුම් කරන්න.",5
100317,"උසස් තත්ත්වයේ නිෂ්පාදනයක් සහ සුපිරි, ඉක්මනින් භාන්ඩය ලැබුනි ඔබට ස්තූති කරන අතර ඔබට හොඳම විකුණුම්කරුවකි.",5
100318,ඒක වටිනවා !!! විශිෂ්ට නිෂ්පාදනයක්!,5
100319,"වේගවත් බෙදා හැරීම, පුදුමාකාර නිෂ්පාදනයක්, විශිෂ්ට අලෙවිකරුවෙක්.",5
100320,"නිෂ්පාදිතය උසස් තත්ත්වයේ, වේගවත් නැව්ගත කිරීමකි, එය ඔබගේ ඡායාරූපයට සමාන වේ, ස්තූතියි.",5
100321,විශිෂ්ට නිෂ්පාදනයක්! කේබල් පිලිවෙලකට තබා ගැනීම සඳහා ඉතා ප්‍රයෝජනවත්! හොඳ ගුණාත්මකභාවය ඉතා හොඳයි ... බය නැතුව මිලදී ගන්න!,5
100322,"පින්තූරයේ ඇති ආකාරයටම ඇත, එය වේගයෙන් පැමිණි අතර මම එයට කැමතියි.",5
100323,මගේ බිරිඳ එයට බෙහෙවින් කැමතියි. එය පුදුමාකාර සොයා ගැනීමකි. ඔබට ස්තුතියි.,5
100324,"ස්තූතියි, ඉතා හොඳ තත්ත්වයේ Mask, විකුණන්නා ඉතා හොදයි.",5
100325,"සෑම දෙයක්ම හොඳින් පැමිණ ඇත, හොඳින් ඇසුරුම් කර ඇත, කිසිවක් හානි නොවී ලැබුනි.",5
100326,විස්තර කර ඇති පරිදි හරියටම ඇත. නියමයි ස්තුතියි.,5
100327,ඉක්මන් බෙදා හැරීමක්. නියමෙට ගැලපෙනවා.,5
100328,ඉහළ ගුණත්වය! මෙය මගේ දෙවන ඇනවුමයි. සති 3 කින් ලැබුණි.,5
100329,"විකුණන්නාට බොහෝ ස්තූතිවන්ත වන අතර, පාර්සලය හරියටම දින 7 න් ඉතා ඉක්මනින් ළඟා විය. විස්තරයේ පරිදි සියල්ල: කළු වර්නය, ඉතා හොඳ තත්ත්වයේ. මම සතුටු වෙමි, මම නිර්දේශ කරමි",5
100330,ඇණවුම සහ හොඳ තත්වයේ ඇත. තෑගි වලට ස්තුතියි. එකට එකත් හොඳයි.ලංකාවෙ උන් ගනිල්ල. ස්පීඩ් යනව 20MB/s වලින් එහා වගෙ. පෙන් එකත් හොඳයි,5
100331,"ලස්සන iPhone 11 case, කාඩ් සඳහා පසුම්බිය, ලස්සන නිල් පැහැති ආවරණ, මගේ බිරිඳට තෑග්ගක් ලෙස දුනෙමි.",5
100332,ඉක්මනට පැමිනියා. යතුරු පුවරුව විශිෂ්ටයි! මම තවම එය සම්පූර්ණයෙන් පරීක්‍ෂා කර නැත.,5
100333,විශිෂ්ට භාණ්ඩයක්,5
100334,,5
100335,ඉතා හොඳ තත්ත්වයේ. ඒ වගේම නියමයි. විකුණුම් කරුට ස්තූතියි.,5
100336,විශිෂ්ඨ නිෂ්පාදනයක් මෙය ඉතාමත් ලස්සන දෙයකි. එය ඉතා හොඳින් ඇසුරුම් කර ඇත. මම ඒකට ගොඩක් කැමති වුණා.,5
100337,ඉතා හොඳ තත්ත්වයේ ඇත. පින්තූර වල මෙන්ම.,5
100338,"උසස් තත්ත්වයේ කෙස් කළඹක්, ඉතා පූර්ණ හා ඝනකම්ය, ගැලවී නොයයි.",5
100339,"ගුණාත්මකභාවය හොඳයි, දින 20 කින් පසු ඇණවුම ලැබුණි, සියල්ල හොඳියි.",5
100340,"එය ඉතා හොඳ පරීක්ෂණ නිෂ්පාදන හොඳින් ක්‍රියාත්මක වන අතර 130ම්ග්/ස් වේග පිටපතක්, විකුණන්නා සමග සුහදව කත කල හැකිය.",5
100341,අයිෆෝන් 12 ප්‍රෝ මැක්ස් රඳවනය සුදුසු ය. මම එය තවම උත්සාහ කර නැත. දුරකථනය ආරෝපණය කරයි. ඊයම් වල ද්‍රව්‍ය හා ගුණාත්මකභාවය විශිෂ්ටයි. නිසැකවම මිලදී ගැනීමට මම නිර්දේශ කරමි.,5
100342,ඔවුන් පරිපූර්ණයි. පරිපූර්ණ මැහුම්. වේගවත් බෙදා හැරීම. හොඳින් ඇසුරුම් කර ඇත. විකිනුම් කරුගේ වෘත්තීයමයභාවයට ස්තුතියි.,5
100343,"හොඳ නිෂ්පාදනයක්, විකුණන්නා සමඟ හොඳ සම්බන්ධතාවයක් පවත්වා ගැනීමට පුලුවන්. ස්තූතියි.",5
100344,පිජාමා එක නියමයි. කොට කලිසමක් හොදයි.,5
100345,ඔබට ස්තුතියි! මම එය ඉතා ඉක්මනින් ලබා ගත්තා!,5
100346,"ලස්සන බෑගය, විශිෂ්ට ගුණාත්මකභාවය සහ ප්‍රමාණය මම බෙහෙවින් නිර්දේශ කරමි.",5
100347,දැන්වීමේ තියනවටත් වඩා හොද තත්වයේ ඇත.,5
100348,"ලස්සන නිෂ්පාදනයක්, මම එයට කැමතියි. ඇස්තමේන්තු ගත කාලය තුළ එය පැමිණියේය.",5
100349,උසස් තත්ත්වයේ බෑගය. ඉතා හොඳ මිලක්. ඉතා වේගයෙන් පැමිනියා.,5
100350,ඉතාම ලස්සන මෘදු අතිශයින්ම විශිෂ්ට තත්ත්වයේ ඇත.,5
100351,ඉතාමත්ම හොඳ උපකරණයක්.,5
100352,සේවාව ඉතා සතුටුදායකයි. ඇනවුම් කල උපකරණය ඉහල ගුණාත්මක තත්වයකින් ලැබී ඇත.,5
100353,"හොඳ අත්බෑගයක්, නූල් ටිකක් ඇලී තිබේ. සති 3 කින් පැමිණියේය.",5
100354,"විශිෂ්ටයි ඉතා ලස්සනයි, මම දෙවරක් ඇණවුම් කළා, අපූරු වර්ණය!",5
100355,නිවේදනයට 100% අනුරූපය. මුදල් සඳහා හොඳ වටිනාකමක් ලැබුණි.,5
100356,"විස්තරය අනුරූප වේ, ශක්තිය සඳහා පරීක්ෂා නොකළේය. සෑම දෙයක්ම පිළිවෙලට පෙනේ, ඉස්කුරුප්පු නියනක් පසුබෑමකින් තොරව ක්‍රියා කරයි.",5
100357,පින්තූරයක් හා සමානයි. ඉතා මෘදු සහ සුවපහසුයි. විකුණුම්කරුට ස්තූතියි,5
100358,"ඉතා වේගයෙන් පැමිණ ඇත, නිෂ්පාදන විශිෂ්ට තත්ත්වයේ. මම එය සෑම කෙනෙකුටම නිර්දේශ කරමි!",5
100359,"විශිෂ්ට නිෂ්පාදනයක්. බිය නොවන්න, ඔබ සාමාන්‍යයෙන් භාවිතා කරන ප්‍රමාණයට වඩා වැඩි කාලයක් භාවිතා කල හැක.",5
100360,"සුවපහසු කපු කලිසමක්, එය ලේස් යෙදීම මගින් වඩා අලන්කාර කර ඇත.",5
100361,"නියමිත වෙලාවටට් කලින් පැමිනියා, මිලදී ගැනීම පිලිබදව සතුටුයි.",5
100362,විස්තරයට අනුකූල වේ. ඇඟිල්ලට ලස්සනයි. විකුණුම්කරු සමඟ කාතාබස් කිරීමට අවශ්ය නොවිනි.,5
100363,"පැහැදිලිව සහ ක්ෂණිකව උෂ්ණත්වය පෙන්වයි. සැහැල්ලුය, සුවපහසුය, ලස්සනය.",5
100364,නිෂ්පාදනයේ හොඳ ගුණාත්මකභාවයකින් යුක්තය. විස්තරයට සදහන් කර ඇති ආකාරයටම තිබුනි! මම නිර්දේශ කරමි!,5
100365,මෙතරම් මිල අඩු ටී ෂර්ට් එකක් මෙතරම් හොඳ තත්ත්වයේ තිබීම ගැන මම සතුටු විය,5
100366,මේක හොඳ ක්‍රමයක් තමයි බඩු කඩන් වැටෙන්නේ නැතිව බෑග් එකේ දාගෙන යන්න,5
100367,"එය ඉක්මනින් ලැබුණි, විස්තර කර ඇති ආකාරයටම ඇත. ඔබට ස්තුතියි!",5
100368,"විස්තර කර ඇති පරිදි, එය දිනයට පෙර පැමිණියේය, ඔබට බොහෝම ස්තූතියි",5
100369,හිතුවටත් වඩා ලස්සනයි. වෙලාවටම හම්බවුනත් එක්ක.තැන්ක් යූ..,5
